city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,32,10,17,0.3,9,65,62,6
阿克苏地区,87,45,121,1.5,25,55,54,7
阿拉善盟,54,37,52,1.33,33,62,68,15
阿勒泰地区,67,48,51,1.25,54,34,38,62
阿里地区,83,61,84,0.8,21,23,29,5
安康,110,82,97,1.23,23,40,39,13
安庆,178,134,134,0.83,21,116,128,13
鞍山,48,21,47,1.24,26,58,30,37
安顺,71,51,58,1.05,19,47,48,26
安阳,136,103,156,2.84,52,26,18,50
白城,89,66,74,0.65,20,61,56,14
百色,44,27,43,1.2,20,46,31,13
白山,98,73,126,1.25,26,49,24,49
白银,80,46,108,1.45,43,22,25,145
保定,67,34,82,1.0,48,37,24,26
宝鸡,74,53,70,1.16,40,38,42,24
保山,55,26,57,1.3,48,24,64,27
包头,52,26,52,1.05,27,54,53,24
巴彦淖尔,42,14,41,0.63,24,48,49,13
巴中,91,67,89,1.2,39,27,40,4
北海,36,25,0,1.3,11,52,50,8
北京,52,7,52,0.32,12,64,62,2
蚌埠,231,180,198,1.42,40,42,37,31
本溪,39,10,38,0.58,12,64,44,23
毕节,81,59,73,1.15,12,76,81,8
滨州,231,180,225,2.27,44,26,13,53
博州,65,46,73,1.8,30,19,24,29
亳州,213,162,211,1.3,38,37,34,16
沧州,128,97,165,1.67,66,24,12,44
长春,70,50,76,1.11,32,43,31,61
常德,116,87,95,1.38,26,51,47,19
昌都,53,14,53,0.95,17,30,33,4
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,227,176,125,2.2,51,35,43,50
长沙,157,119,0,0.99,30,64,66,11
常熟,236,185,216,1.7,40,54,63,38
长治,50,24,49,0.9,28,52,42,36
常州,189,142,159,1.72,49,34,36,28
朝阳,84,40,116,1.2,27,69,68,38
潮州,14,4,9,0.73,14,29,27,8
承德,52,10,51,0.36,7,80,80,5
成都,131,99,133,1.47,60,18,25,14
郴州,85,62,83,1.06,16,61,70,6
赤峰,29,11,22,0.7,15,55,56,16
池州,186,140,149,0.9,19,85,95,19
